agrupacion_id,eleccion_id,nombre,agrupacioninterna
0181,4,FUERZA REPUBLICANA,
0186,4,LABORISTA DE LA INDEPENDENCIA,
0542,4,ALTERNATIVA POPULAR,
0543,4,FRENTE ACUERDO CIVICO Y SOCIAL,
0069,4,GEN,
0201,4,MOVIMIENTO SOLIDARIO POPULAR,
0564,4,MOV. DE ACCION POPULAR (MAP),
0565,4,FRENTE VOLUNTAD SOCIAL (VOS),
0563,4,INST. ELECTORAL POR LA UNIDAD POPULAR,
0566,4,NUEVO PAKLIN,
0008,4,PARTIDO FEDERAL,
0159,4,FRENTE MERCEDINOS POR EL CAMBIO,
0160,4,PROYECTO CLASE MEDIA,
0161,4,PARTIDO NUEVA GENERACION,
0162,4,PARTIDO MOVIMIENTO VECINAL INDEPENDIENTE PROVINCIAL,
0063,4,ES POSIBLE,
0234,4,MOVIMIENTO AL SOCIALISMO,
0262,4,EL MOVIMIENTO,
0551,4,ACCION CIUDADANA,
0552,4,ALUVION CIUDADANO,
0553,4,BANDERA VECINAL,
0554,4,CONFIANZA PUBLICA,
0555,4,CONVERGENCIA POPULAR PORTEÑA,
0556,4,DEMOCRATA CRISTIANO,
0557,4,LIBERAL LIBERTARIO,
0558,4,PARTIDO DE LA RED,
0559,4,PARTIDO NACIONALISTA CONSTITUCIONAL UNIR,
0560,4,POPULAR DE LA RECONSTRUCCION,
0561,4,SUMAR IZQUIERDA DEMOCRATICA,
0511,4,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),
0179,4,PARTIDO CIUDADANOS A GOBERNAR,
0182,4,PROYECTO SUR,
0218,4,FRENTE GRANDE,
